question,tag,answer
"আমি হচ্ছে জমি কিনেছি তো জমি খারিজ, নামজারি, মিউটেশন করতে চাচ্ছিলাম, এখন কিভাবে কি করবো",namjari_process,"ভূমিসেবার অনান্য সেবা গ্রহণের জন্য যদি নিবন্ধন না করা থাকে প্রথমে land.gov.bd নিবন্ধন করতে হবে পরে লগইন করতে হবে। আর নিবন্ধন থাকলে সরাসরি লগইন করতে হবে।  মিউটেশন বাটনে ক্লিক করে প্রবেশ করে তথ্য দিয়ে কাজ করতে হবে।"
"আচ্ছা, নামজারি সেবাটা পেতে হলে কী করতে হবে, আর কোথায় যেতে হবে একটু বুঝিয়ে বলবেন?",namjari_process,"ভূমিসেবার অনান্য সেবা গ্রহণের জন্য যদি নিবন্ধন না করা থাকে প্রথমে land.gov.bd নিবন্ধন করতে হবে পরে লগইন করতে হবে। আর নিবন্ধন থাকলে সরাসরি লগইন করতে হবে।  মিউটেশন বাটনে ক্লিক করে প্রবেশ করে তথ্য দিয়ে কাজ করতে হবে।"
আচ্ছা খারিজ কি অনলাইনে করা যায়? করা গেলে কিভাবে?,namjari_process,"ভূমিসেবার অনান্য সেবা গ্রহণের জন্য যদি নিবন্ধন না করা থাকে প্রথমে land.gov.bd নিবন্ধনকরতে হবে পরে লগইন করতে হবে। আর নিবন্ধন থাকলে সরাসরি লগইন করতে হবে।  মিউটেশন বাটনে ক্লিক করে প্রবেশ করে তথ্য দিয়ে কাজ করতে হবে।"
নামজারি আবেদন নিজে নিজে করা যায় কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি করার জন্য ভূমি অফিসে যাওয়া লাগে কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
অফিসে না গিয়ে কি নামজারি করা সম্ভব যদি নিজে করতে চাই আরকি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
কারো সাহায্যে কি নামজারি করা যাবে?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
অন্যের সাহায্যে নামজারি করা যায় কি?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারির জন্য অনলাইন থেকে কি আবেদন করা যায়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
নামজারি কি অনলাইনে করা যায়?,namjari_application_procedure,"আপনার মোবাইলে বা ল্যাপটপে বা কম্পিউটারে ইন্টারনেট থাকলে আপনি নিজেই পারবেন, আর যদি না থাকে তবে ভূমি সহায়তা কেন্দ্র বা তেজগাঁওয়ে ভূমি ভবনে ভূমি সেবা কেন্দ্রে বা আপনার নিকটস্থ দোকানে কম্পিউটারে সরকারি সেবা নিয়ে কাজ করে সেখানে করাতে পারেন।"
